Project_ID,Bug_ID,Modified_Class,M1_ID,M2_ID,LINE,M1_OCHIAI,M1_JACCARD,M1_COSINE,M1_BLEU,M2_OCHIAI,M2_JACCARD,M2_COSINE,M2_BLEU,M1_M2_OCHIAI,M1_M2_JACCARD,M1_M2_COSINE,M1_M2_BLEU,MODIFIED_CLASSES
Cli,35f,org.apache.commons.cli.Options,192,187,265,0.0,0.9651162790697676,0.9997254701258464,0.9622222222222222,0.0,0.9540229885057472,0.999721473711498,0.9622222222222222,0.0,0.01109329056402042,3.99641434845055e-06,0.0,1
Cli,35f,org.apache.commons.cli.Options,186,180,265,0.0,0.9651162790697676,0.9997254701258464,0.9622222222222222,0.0,0.9540229885057472,0.9997153807622388,0.9600886917960088,0.0,0.01109329056402042,1.0089363607690416e-05,0.002133530426213448,1
Cli,35f,org.apache.commons.cli.Options,124,106,240,1.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0890870806374748,0.9767441860465116,0.9998375521207272,0.9676339285714286,0.9109129193625252,0.022198731501057,0.00011089671856201466,0.005369777628032368,1
Cli,35f,org.apache.commons.cli.Options,103,118,240,0.1132277034144595,0.9655172413793104,0.9997279783359428,0.9622641509433962,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.1132277034144595,0.010971786833855801,1.3229337776365924e-06,0.0,1
Cli,35f,org.apache.commons.cli.Options,63,56,157,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.9767441860465116,0.9997637157420872,0.9633333333333334,0.0,0.022198731501057,3.706033992201263e-05,0.00106918238993714,1
Cli,35f,org.apache.commons.cli.Options,43,60,157,0.1230914909793327,0.9651162790697676,0.9996859003655838,0.9643255295429208,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.1230914909793327,0.010570824524313016,4.0755036581408e-05,0.0020613785995245992,1
Cli,35f,org.apache.commons.cli.Options,57,46,163,0.0641500299099584,0.9767441860465116,0.9997637157420872,0.9633333333333334,0.0,0.9767441860465116,0.9996845708420432,0.9643255295429208,0.0641500299099584,0.0,7.914490004401475e-05,0.0009921962095874592,1
Cli,35f,org.apache.commons.cli.Options,40,64,163,0.0632455532033675,0.9655172413793104,0.9997279783359428,0.9622641509433962,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0632455532033675,0.010971786833855801,1.3229337776365924e-06,0.0,1
Cli,35f,org.apache.commons.cli.Options,65,47,165,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.9767441860465116,0.9997479201862324,0.9676339285714286,0.0,0.022198731501057,2.1264784067165365e-05,0.005369777628032368,1
Cli,35f,org.apache.commons.cli.Options,41,55,165,0.0,0.9655172413793104,0.9997279783359428,0.9622641509433962,0.0,0.9655172413793104,0.9997361673905092,0.9611973392461196,0.0,0.0,8.189054566343223e-06,0.0010668116972766262,1
Cli,35f,org.apache.commons.cli.Options,96,95,71,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.0,0.0,0.0,1
Cli,35f,org.apache.commons.cli.Options,86,77,71,0.0,0.9767441860465116,0.9997637157420872,0.9633333333333334,0.0,0.9655172413793104,0.9997279783359428,0.9622641509433962,0.0,0.0112269446672012,3.573740614437604e-05,0.00106918238993714,1
Cli,35f,org.apache.commons.cli.Options,115,119,246,0.0,0.9767441860465116,0.9997637157420872,0.9633333333333334,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.022198731501057,3.706033992201263e-05,0.00106918238993714,1
Cli,35f,org.apache.commons.cli.Options,115,110,246,0.0,0.9767441860465116,0.9997637157420872,0.9633333333333334,0.0,0.9534883720930232,0.999591576488765,0.9642857142857144,0.0,0.023255813953488413,0.00017213925332226765,0.0009523809523810378,1
Cli,35f,org.apache.commons.cli.Options,143,144,218,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.9545454545454546,0.9997266554021652,0.9622641509433962,0.0,0.0,0.0,0.0,1
Cli,35f,org.apache.commons.cli.Options,133,138,218,0.0,0.9767441860465116,0.9997113775324442,0.9665178571428572,0.0,0.9655172413793104,0.9997361673905092,0.9611973392461196,0.0,0.0112269446672012,2.4789858064977466e-05,0.005320517896737598,1
Cli,35f,org.apache.commons.cli.Options,23,18,142,0.0,0.9655172413793104,0.9997385947286098,0.9633333333333334,0.053760333057047,0.9651162790697676,0.9988052475245464,0.9608501118568232,0.053760333057047,0.000400962309542785,0.0009333472040634616,0.0024832214765101446,1
Cli,35f,org.apache.commons.cli.Options,27,18,142,0.0,0.9545454545454546,0.9997543852691,0.9601328903654484,0.053760333057047,0.9651162790697676,0.9988052475245464,0.9608501118568232,0.053760333057047,0.010570824524313016,0.0009491377445536298,0.0007172214913748753,1
Cli,35f,org.apache.commons.cli.Options,15,13,111,0.0,0.9655172413793104,0.9997188140027076,0.9622222222222222,0.0,0.9767441860465116,0.999001376636427,0.9652466367713004,0.0,0.0112269446672012,0.0007174373662806044,0.0030244145490782026,1
Cli,35f,org.apache.commons.cli.Options,9,17,111,0.0,0.9767441860465116,0.9997201434002408,0.9622222222222222,0.0,0.9655172413793104,0.9997188140027076,0.9622222222222222,0.0,0.0112269446672012,1.3293975332784314e-06,0.0,1
Cli,11f,org.apache.commons.cli.HelpFormatter,452,201,877,0.0,0.9936305732484076,0.9999804166982388,0.998046875,0.0,0.9936305732484076,0.9999632312465734,0.9960930649668334,0.0,0.0,1.7185451665402418e-05,0.0019538100331666364,1
